CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
224,Female,57,31,97
225,Male,26,40,80
226,Male,63,36,72
227,Male,43,21,91
228,Male,46,61,92
229,Male,31,25,77
230,Male,59,63,64
231,Female,47,119,85
232,Female,36,64,71
233,Male,57,94,95
234,Male,52,115,95
233,Male,57,94,95
234,Male,52,115,95
235,Male,22,69,84
236,Female,55,56,60
237,Male,56,115,86
238,Female,21,29,84
239,Female,68,61,68
240,Male,44,117,69
241,Female,47,107,70
242,Male,21,63,60
243,Female,29,45,71
244,Male,60,50,68
245,Female,59,94,71
246,Male,31,36,75
247,Female,26,60,60
248,Male,50,50,83
249,Female,27,93,62
250,Female,31,110,89
251,Female,19,54,93
252,Male,62,102,62
253,Male,59,63,72
254,Male,53,40,84
255,Male,49,115,80
256,Female,27,112,78
257,Male,56,86,81
258,Male,54,35,75
259,Male,28,64,83
260,Male,27,67,71
261,Female,55,88,90
262,Female,54,38,63
263,Male,20,78,67
264,Male,26,26,91
265,Male,41,46,63
266,Female,63,106,90
267,Female,26,102,93
268,Male,45,72,95
269,Male,33,67,79
270,Male,60,116,71
271,Male,19,31,71
272,Male,59,112,64
273,Female,61,87,77
274,Male,21,27,82
275,Male,63,104,70
276,Female,68,112,69
277,Male,20,104,61
278,Male,68,44,77
277,Male,20,104,61
278,Male,68,44,77
279,Female,53,94,72
280,Male,38,34,72
281,Male,26,100,83
282,Female,59,72,70
283,Female,33,31,99
284,Female,37,36,98
285,Male,42,116,87
286,Male,36,53,61
287,Female,35,48,66
288,Female,28,88,61
289,Male,28,77,94
290,Female,50,101,74
291,Female,23,36,82
292,Female,55,23,98
293,Female,66,98,81
294,Female,68,25,94
295,Female,67,40,81
296,Male,22,91,63
297,Male,38,90,93
298,Male,61,112,65
299,Male,33,87,95
300,Male,54,76,92
301,Female,37,68,76
302,Female,62,96,89
303,Female,32,21,82
304,Male,48,73,84
305,Male,46,66,98
306,Male,39,43,86
307,Male,68,70,81
308,Male,42,102,78
309,Male,32,25,93
310,Female,41,98,79
311,Male,64,35,61
312,Female,70,109,67
313,Male,64,69,79
314,Female,59,20,91
315,Male,60,49,83
316,Male,25,101,60
317,Male,58,113,84
318,Female,67,51,76
319,Male,66,103,96
320,Male,19,94,67
321,Male,41,52,77
322,Male,62,21,62
323,Male,24,58,87
322,Male,62,21,62
323,Male,24,58,87
324,Female,49,74,88
325,Male,60,111,99
326,Female,26,74,62
327,Female,40,58,86
328,Female,31,71,75
329,Male,22,94,83
330,Male,30,108,75
331,Female,30,90,62
332,Male,21,75,70
333,Male,44,76,71
334,Female,31,72,98
335,Male,46,25,65
336,Female,28,31,83
337,Female,33,107,75
338,Female,38,70,94
339,Male,43,61,70
340,Female,27,90,70
341,Female,45,68,70
342,Female,40,49,74
343,Female,45,71,98
344,Female,56,69,80
345,Female,42,55,60
346,Male,23,108,70
347,Female,52,66,84
348,Male,30,68,84
349,Female,30,24,70
350,Male,61,37,76
351,Male,67,53,65
352,Female,62,88,92
353,Female,68,62,72
354,Male,51,42,98
355,Female,55,74,80
356,Male,53,37,73
357,Female,42,26,81
358,Male,40,63,67
359,Male,67,31,69
360,Female,32,64,97
361,Male,50,62,79
362,Male,25,21,63
363,Male,38,27,67
364,Female,42,69,70
365,Female,19,55,81
366,Male,56,60,75
367,Male,41,66,71
368,Male,35,110,70
369,Male,54,63,69
370,Female,41,68,77
371,Female,40,100,80
372,Female,38,101,69
373,Male,46,60,62
374,Female,29,101,78
375,Male,27,58,71
376,Male,32,61,67
377,Male,56,98,78
378,Male,32,64,96
379,Male,46,108,95
380,Female,44,47,74
381,Female,38,69,70
382,Male,38,98,72
383,Female,54,47,75
384,Male,40,115,67
385,Female,53,113,91
386,Male,58,48,97
387,Female,26,39,96
388,Male,54,28,71
389,Female,51,111,92
390,Female,32,113,77
391,Female,54,70,80
392,Female,68,109,94
393,Male,63,65,93
394,Female,39,88,62
395,Female,46,78,77
396,Male,35,25,83
397,Male,21,58,92
398,Male,56,28,96
399,Male,34,72,90
400,Female,35,59,63
401,Female,42,67,64
402,Female,24,85,90
403,Male,47,113,66
404,Male,63,94,73
405,Female,41,74,80
406,Male,70,62,89
407,Male,22,72,92
408,Female,28,25,96
409,Female,55,91,68
410,Male,46,101,74
411,Male,20,42,97
412,Male,26,67,66
413,Male,38,60,71
414,Female,61,35,65
415,Female,54,104,81
416,Female,45,95,97
417,Male,59,23,82
418,Male,28,43,82
419,Male,35,24,80
420,Male,62,94,93
421,Female,69,67,62
422,Male,27,100,67
423,Male,65,63,94
424,Male,39,64,87
425,Male,24,101,87
426,Female,56,22,66
427,Male,56,25,93
428,Male,52,85,83
429,Female,60,36,99
430,Male,43,73,88
431,Male,48,61,74
432,Female,43,45,97
433,Female,23,48,99
434,Female,44,115,81
435,Male,63,78,91
436,Female,20,78,79
437,Male,29,92,93
438,Female,50,67,99
439,Male,59,90,89
440,Male,51,25,63
441,Female,23,25,90
442,Male,68,92,61
443,Female,34,22,75
444,Female,51,93,91
445,Male,59,63,79
446,Female,28,111,94
447,Male,44,40,95
448,Female,39,45,79
449,Female,39,94,61
450,Female,35,78,68
451,Male,51,51,74
452,Male,55,29,65
453,Female,30,57,88
454,Female,54,108,74
455,Female,51,93,99
456,Male,29,94,95
457,Female,34,62,72
458,Male,31,22,74
459,Female,49,104,84
460,Female,58,23,70
461,Female,19,91,71
462,Male,45,75,97
463,Male,55,88,96
464,Male,68,50,62
465,Male,37,62,96
466,Male,42,61,76
467,Female,37,40,99
468,Male,68,56,84
469,Male,36,81,99
470,Male,41,98,89
471,Female,40,85,75
472,Male,19,105,77
473,Female,65,91,86
474,Male,70,33,66
475,Male,67,26,81
476,Female,68,27,91
477,Male,26,34,94
478,Male,19,27,64
479,Female,32,35,92
480,Male,27,25,68
481,Male,44,88,94
482,Male,55,116,83
483,Female,33,95,65
484,Male,52,73,71
485,Male,61,32,88
486,Male,32,77,71
487,Male,45,37,64
488,Male,60,69,70
489,Female,67,64,71
490,Female,31,40,88
491,Male,24,58,64
492,Male,56,47,94
493,Male,30,96,64
494,Male,52,27,61
495,Male,24,53,63
496,Male,40,106,67
497,Female,67,36,79
498,Male,47,23,72
499,Female,63,46,64
500,Female,62,23,94
501,Male,32,86,69
502,Female,43,41,93
503,Female,33,29,61
504,Female,26,30,62
505,Female,32,74,64
506,Male,62,77,71
507,Male,27,113,91
508,Female,29,98,87
509,Female,22,110,85
510,Male,20,105,97
511,Male,46,38,83
512,Male,28,65,76
513,Female,19,112,99
514,Female,48,29,68
515,Female,28,26,67
516,Male,45,48,89
517,Female,65,32,67
518,Male,60,115,73
519,Male,69,22,74
520,Male,45,80,94
521,Male,64,33,84
522,Male,27,37,79
523,Female,24,73,75
524,Male,52,110,87
525,Male,69,26,74
526,Male,57,72,82
527,Female,55,41,75
528,Male,26,44,63
529,Male,37,52,60
530,Female,59,30,76
531,Male,51,61,77
532,Male,30,43,63
533,Male,28,49,96
534,Male,33,40,93
535,Male,60,79,60
536,Male,56,92,75
537,Female,70,42,93
538,Female,43,33,95
539,Male,25,70,67
540,Female,43,50,98
541,Male,56,56,77
542,Female,29,111,84
543,Female,46,38,95
544,Male,43,98,83
545,Female,27,68,71
546,Male,48,113,87
547,Male,62,117,91
548,Female,60,97,96
549,Male,19,40,70
550,Female,48,41,77
551,Female,32,67,74
552,Male,55,47,85
553,Female,52,118,73
554,Female,59,25,86
555,Female,63,59,73
556,Male,53,52,81
557,Male,68,82,75
558,Male,30,22,83
559,Male,55,44,74
560,Female,48,21,85
559,Male,55,44,74
560,Female,48,21,85
561,Male,45,39,75
562,Female,38,20,62
563,Male,53,20,92
564,Male,43,85,65
565,Male,60,99,77
566,Male,31,80,62
567,Female,69,112,65
568,Male,49,35,90
569,Female,27,30,61
570,Female,70,25,86
571,Male,31,61,71
572,Female,33,69,68
573,Female,35,113,96
574,Male,22,22,91
575,Male,27,110,99
576,Male,56,92,66
577,Female,34,20,87
578,Male,54,55,88
579,Female,55,88,60
580,Female,60,113,81
581,Female,39,107,62
582,Female,58,32,96
583,Male,40,65,88
584,Female,54,59,67
585,Male,49,23,64
586,Female,65,106,91
587,Female,55,96,98
588,Male,67,84,63
589,Male,37,29,67
590,Female,46,85,71
591,Male,47,40,66
592,Male,38,44,64
593,Male,57,101,88
594,Female,32,103,71
595,Female,34,56,63
596,Female,49,53,61
597,Female,42,103,90
598,Female,45,36,79
599,Female,44,84,60
600,Male,44,106,75
601,Male,21,32,68
602,Male,59,82,95
603,Female,23,34,85
604,Female,57,92,83
605,Female,70,119,69
606,Female,20,69,72
607,Male,63,114,63
608,Male,49,47,88
609,Female,58,83,96
610,Male,42,91,98
611,Female,61,32,78
612,Male,47,44,75
613,Male,43,76,80
614,Female,65,69,87
615,Female,68,73,78
616,Male,51,44,86
617,Female,42,29,69
618,Female,56,102,69
619,Male,54,46,78
620,Female,31,58,70
621,Female,57,39,81
622,Male,33,52,67
623,Male,58,64,93
624,Male,22,67,76
625,Female,19,30,96
626,Female,40,57,97
627,Male,57,21,72
628,Female,20,116,93
629,Male,20,107,61
630,Male,42,25,81
631,Male,30,49,92
632,Female,43,118,75
633,Female,68,43,97
634,Female,57,66,67
635,Female,24,107,92
636,Male,36,106,61
637,Male,46,73,85
638,Female,66,107,96
639,Female,70,25,96
640,Female,24,87,80
641,Female,33,41,66
642,Male,43,106,60
643,Male,55,99,60
644,Male,33,51,77
645,Female,70,109,66
646,Male,47,110,99
647,Female,27,58,85
648,Male,21,51,98
649,Female,28,80,92
650,Male,52,30,84
651,Female,61,79,61
652,Female,62,101,61
653,Female,23,23,87
654,Male,33,112,70
655,Female,63,108,91
656,Female,67,52,94
657,Female,30,45,79
658,Female,20,85,77
659,Male,60,83,76
660,Female,31,24,61
661,Female,34,75,65
662,Female,50,83,66
663,Male,25,34,91
664,Male,21,110,86
665,Female,34,63,65
666,Male,60,119,81
667,Female,23,99,64
668,Female,55,111,93
669,Male,31,117,99
670,Female,58,96,85
671,Female,35,99,85
672,Female,64,112,70
673,Female,61,39,70
674,Female,51,99,87
675,Male,35,109,97
676,Male,48,97,98
677,Female,65,100,66
678,Male,21,59,62
679,Male,29,59,78
680,Male,33,54,62
681,Male,49,67,61
682,Male,35,105,85
683,Male,20,58,65
684,Female,51,92,90
685,Male,65,66,71
686,Female,52,88,60
687,Female,40,71,74
688,Male,35,115,62
689,Female,28,63,94
690,Male,31,77,66
691,Male,49,25,86
692,Female,68,78,60
693,Male,70,36,72
694,Male,41,52,89
695,Female,32,75,79
696,Male,68,51,69
697,Female,43,56,90
698,Female,38,114,83
699,Male,33,112,87
700,Female,35,112,60
701,Female,?,23,67
702,Female,?,92,98
703,Male,?,107,63
704,Female,?,111,77
705,Male,?,96,89
706,Female,?,81,97
707,Male,?,33,83
708,Female,?,44,88
709,Male,?,89,65
710,Female,?,61,99
711,Female,33,?,87
712,Male,50,?,65
713,Female,22,?,85
714,Female,33,?,81
715,Male,36,?,66
716,Male,31,?,80
717,Female,51,?,90
718,Male,43,?,71
719,Female,32,?,64
720,Male,27,?,73
721,Female,58,?,83
722,Female,29,?,88
723,Male,58,?,91
724,Female,62,?,70
725,Female,51,?,73
726,Female,19,?,66
727,Male,37,?,67
728,Male,61,?,98
729,Male,67,?,73
730,Male,36,?,90
731,Female,35,?,87
732,Female,44,?,99
733,Female,64,?,65
734,Male,62,?,88
735,Male,32,?,75
736,Female,54,?,76
737,Female,61,?,91
738,Male,59,?,94
739,Female,57,?,64
740,Male,36,?,69
741,Female,37,101,?
742,Female,41,105,?
743,Female,53,96,?
744,Female,26,62,?
745,Male,20,66,?
746,Male,62,73,?
747,Female,66,120,?
748,Male,65,40,?
749,Female,29,52,?
750,Female,21,120,?
751,Female,54,98,?
752,Male,59,88,?
753,Female,60,45,?
754,Female,32,94,?
755,Male,68,24,?
756,Male,30,28,?
757,Male,70,30,?
758,Male,31,23,?
759,Male,22,42,?
760,Male,43,28,?
761,Female,41,40,?
762,Male,21,74,?
763,Male,59,115,?
764,Male,30,20,?
765,Male,34,115,?
766,Male,47,60,?
767,Male,42,28,?
768,Female,36,90,?
769,Male,36,115,?
770,Male,33,114,?
771,Female,46,101,?
772,Female,55,109,?
773,Female,55,48,?
774,Male,23,116,?
775,Male,70,33,?
776,Female,31,43,?
777,Male,54,67,?
778,Male,38,75,?
779,Male,45,28,?
780,Female,23,46,?
781,Male,58,53,?
782,Male,46,61,?
783,Male,52,91,?
784,Female,26,55,?
785,Female,35,59,?
786,Male,60,36,?
787,Male,25,54,?
788,Male,69,28,?
789,Male,51,31,?
790,Female,26,60,?
791,Male,57,37,?
792,Male,46,30,?
793,Female,44,59,?
794,Male,65,30,?
795,Male,49,71,?
796,Female,62,57,?
797,Female,44,79,?
798,Female,23,94,?
799,Female,55,78,?
800,Male,29,118,?
